name,address,rating,rating_count,types,query,lat,lng,price_level,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,website
Subito,"34 N Delaware St, Indianapolis, IN 46204, United States",4.9,296,"meal_takeaway, restaurant, food, point_of_interest, establishment",restaurant,39.7679983,-86.1546315,1,10:00 AM - 3:00 PM,10:00 AM - 3:00 PM,10:00 AM - 3:00 PM,10:00 AM - 3:00 PM,10:00 AM - 3:00 PM,Closed,Closed,http://www.subitosoups.com/
Sauce on the Side®,"130 S Pennsylvania St Suite 2, Indianapolis, IN 46204, United States",4.8,235,"meal_delivery, restaurant, food, point_of_interest, establishment",restaurant,39.7646003,-86.15671359999999,2,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 10:00 PM,11:00 AM - 10:00 PM,12:00 - 8:00 PM,http://www.sauceontheside.com/
Harry & Izzy's,"153 S Illinois St, Indianapolis, IN 46225, United States",4.7,2962,"restaurant, food, point_of_interest, establishment",restaurant,39.764575,-86.15966,4,11:00 AM - 10:00 PM,11:00 AM - 10:00 PM,11:00 AM - 10:00 PM,11:00 AM - 10:00 PM,11:00 AM - 11:00 PM,11:00 AM - 11:00 PM,12:00 - 9:00 PM,http://www.harryandizzys.com/
Yats,"AVENUE, 910 W 10th St, Indianapolis, IN 46202, United States",4.7,502,"restaurant, food, point_of_interest, establishment",restaurant,39.7811066,-86.1750151,1,11:00 AM - 8:00 PM,11:00 AM - 8:00 PM,11:00 AM - 8:00 PM,11:00 AM - 8:00 PM,11:00 AM - 8:00 PM,Closed,Closed,https://yatscajuncreole.com/wp/indiana/
Bru Burger Bar,"410 Massachusetts Ave, Indianapolis, IN 46204, United States",4.5,4536,"bar, restaurant, food, point_of_interest, establishment",restaurant,39.77333199999999,-86.1521353,2,11:00 AM - 10:00 PM,11:00 AM - 10:00 PM,11:00 AM - 10:00 PM,11:00 AM - 10:00 PM,11:00 AM - 11:00 PM,11:00 AM - 11:00 PM,11:00 AM - 10:00 PM,https://www.bruburgerbar.com/Locations/Bru-Indy/
Bakersfield,"334 Massachusetts Ave, Indianapolis, IN 46204, United States",4.5,2378,"bar, restaurant, food, point_of_interest, establishment",restaurant,39.77198119999999,-86.1535945,2,4:00 - 11:00 PM,4:00 - 11:00 PM,4:00 - 11:00 PM,4:00 - 11:00 PM,11:00 AM - 12:00 AM,11:00 AM - 12:00 AM,11:00 AM - 10:00 PM,http://www.bakersfieldtacos.com/
Bazbeaux,"333 Massachusetts Ave, Indianapolis, IN 46204, United States",4.5,2039,"meal_takeaway, restaurant, food, point_of_interest, establishment",restaurant,39.7716322,-86.1534837,2,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 10:00 PM,11:00 AM - 10:00 PM,11:00 AM - 9:00 PM,http://www.bazbeaux.com/
Bosphorus Istanbul Cafe,"935 S East St, Indianapolis, IN 46225, United States",4.5,1482,"restaurant, food, point_of_interest, establishment",restaurant,39.7545579,-86.149301,2,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 10:00 PM,12:00 - 10:00 PM,4:00 - 8:00 PM,https://thebosphoruscafe.com/
Mimi Blue Restaurants,"870 Massachusetts Ave, Indianapolis, IN 46202, United States",4.5,1148,"restaurant, food, point_of_interest, establishment",restaurant,39.77943339999999,-86.1429271,2,11:00 AM - 10:00 PM,11:00 AM - 10:00 PM,11:00 AM - 10:00 PM,11:00 AM - 10:00 PM,11:00 AM - 10:00 PM,10:00 AM - 10:00 PM,10:00 AM - 9:00 PM,https://www.mimibluerestaurants.com/menus
Rooster's Kitchen,"888 Massachusetts Ave, Indianapolis, IN 46204, United States",4.5,654,"restaurant, food, point_of_interest, establishment",restaurant,39.77963329999999,-86.1425386,2,11:00 AM - 4:00 PM,Closed,11:00 AM - 4:00 PM,11:00 AM - 9:00 PM,11:00 AM - 10:00 PM,11:00 AM - 10:00 PM,10:00 AM - 4:00 PM,http://roostersindy.com/
Ember Urban Eatery,"435 Virginia Ave, Indianapolis, IN 46203, United States",4.5,470,"bar, restaurant, food, point_of_interest, establishment",restaurant,39.7603619,-86.1489485,2,Closed,4:00 - 9:30 PM,4:00 - 9:30 PM,"11:00 AM - 2:00 PM, 4:00 - 9:30 PM","11:00 AM - 2:00 PM, 4:00 - 10:00 PM",12:00 - 10:00 PM,Closed,http://www.emberurbaneatery.com/about/
Naf Naf Grill,"921 Indiana Ave, Indianapolis, IN 46202, United States",4.5,288,"restaurant, food, point_of_interest, establishment",restaurant,39.7799276,-86.17235869999999,1,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,https://www.nafnafgrill.com/
Yard House,"15 W Maryland St, Indianapolis, IN 46204, United States",4.4,2766,"bar, meal_takeaway, restaurant, food, point_of_interest, establishment",restaurant,39.7653282,-86.1591399,2,11:00 AM - 10:30 PM,11:00 AM - 10:30 PM,11:00 AM - 10:30 PM,11:00 AM - 10:30 PM,11:00 AM - 11:30 PM,11:00 AM - 11:30 PM,11:00 AM - 10:30 PM,https://www.yardhouse.com/locations/in/indianapolis/indianapolis-circle-centre/8360?cmpid=br:yh_ag:ie_ch:dry_ca:YHGMB_sn:gmb_gt:indianapolis-in-8360_pl:locurl_rd:1057
Mesh - Indianapolis,"725 Massachusetts Ave, Indianapolis, IN 46204, United States",4.4,1275,"bar, restaurant, food, point_of_interest, establishment",restaurant,39.7767191,-86.1461999,3,11:00 AM - 10:00 PM,11:00 AM - 10:00 PM,11:00 AM - 10:00 PM,11:00 AM - 10:00 PM,11:00 AM - 10:00 PM,11:00 AM - 10:00 PM,10:00 AM - 9:00 PM,https://www.meshrestaurants.com/#loc3
The District Tap,"141 S Meridian St, Indianapolis, IN 46225, United States",4.4,836,"bar, restaurant, food, point_of_interest, establishment",restaurant,39.7645516,-86.1579895,2,11:00 AM - 12:00 AM,11:00 AM - 12:00 AM,11:00 AM - 12:00 AM,11:00 AM - 2:00 AM,11:00 AM - 2:00 AM,11:00 AM - 2:00 AM,11:00 AM - 12:00 AM,http://thedistricttap.com/
Abbiocco Pizzeria,"906 Carrollton Ave suite 385, Indianapolis, IN 46202, United States",4.3,18,"restaurant, food, point_of_interest, establishment",restaurant,39.7805219,-86.1438378,2,10:30 AM - 9:00 PM,10:30 AM - 9:00 PM,10:30 AM - 9:00 PM,10:30 AM - 9:00 PM,10:30 AM - 10:00 PM,10:30 AM - 10:00 PM,10:30 AM - 9:00 PM,http://abbioccopizzeria.com/
Weber Grill Restaurant,"10 N Illinois St, Indianapolis, IN 46204, United States",4.2,2510,"bar, restaurant, food, point_of_interest, establishment",restaurant,39.7676051,-86.1600653,2,11:30 AM - 9:00 PM,11:30 AM - 9:00 PM,11:30 AM - 9:00 PM,11:30 AM - 9:00 PM,11:30 AM - 10:00 PM,11:30 AM - 10:00 PM,11:30 AM - 9:00 PM,http://www.webergrillrestaurant.com/
1913 Restaurant,"40 W Jackson Pl, Indianapolis, IN 46225, United States",4.2,52,"restaurant, food, point_of_interest, establishment",restaurant,39.7637318,-86.1594806,,6:30 - 10:00 AM,6:30 - 10:00 AM,6:30 - 10:00 AM,6:30 - 10:00 AM,6:30 - 10:00 AM,7:00 AM - 12:00 PM,7:00 AM - 12:00 PM,https://www.omnihotels.com/hotels/indianapolis-severin/dining/1913-restaurant
BODHI,"922 Massachusetts Ave, Indianapolis, IN 46202, United States",4.9,223,"bar, restaurant, food, point_of_interest, establishment",asian restaurant,39.7802203,-86.1418027,,5:00 - 10:00 PM,Closed,5:00 - 10:00 PM,5:00 - 10:00 PM,5:00 - 11:00 PM,4:00 - 11:00 PM,5:00 - 10:00 PM,http://www.bodhi-indy.com/
Wisanggeni Pawon,"1021 N Pennsylvania St, Indianapolis, IN 46204, United States",4.8,13,"restaurant, food, point_of_interest, establishment",asian restaurant,39.7817574,-86.1551846,,11:30 AM - 9:30 PM,11:30 AM - 9:30 PM,11:30 AM - 9:30 PM,11:30 AM - 9:30 PM,11:30 AM - 9:30 PM,3:00 - 9:30 PM,3:00 - 9:30 PM,http://www.wpawon.com/
Stixx Social Room & Asian Grill,"361 Indiana Ave #1705, Indianapolis, IN 46204, United States",4.6,326,"bar, restaurant, food, point_of_interest, establishment",asian restaurant,39.7726576,-86.1628078,2,Closed,3:00 - 10:00 PM,3:00 - 10:00 PM,3:00 - 10:00 PM,12:00 PM - 12:00 AM,5:00 PM - 12:00 AM,Closed,http://stixxcigarbar.com/
FortyFive Degrees,"765 Massachusetts Ave, Indianapolis, IN 46204, United States",4.5,1554,"night_club, bar, restaurant, food, point_of_interest, establishment",asian restaurant,39.77728219999999,-86.14543909999999,2,11:00 AM - 11:00 PM,11:00 AM - 11:00 PM,11:00 AM - 11:00 PM,11:00 AM - 11:00 PM,11:00 AM - 12:00 AM,12:00 PM - 12:00 AM,12:00 - 10:00 PM,http://www.fortyfiveindy.com/
Thai Paradise,"137 W Market St, Indianapolis, IN 46204, United States",4.5,577,"restaurant, food, point_of_interest, establishment",asian restaurant,39.76841939999999,-86.1612361,,"11:00 AM - 3:00 PM, 4:00 - 9:00 PM","11:00 AM - 3:00 PM, 4:00 - 9:00 PM","11:00 AM - 3:00 PM, 4:00 - 9:00 PM","11:00 AM - 3:00 PM, 4:00 - 9:00 PM","11:00 AM - 3:00 PM, 4:00 - 9:00 PM",12:00 - 9:00 PM,Closed,https://www.thaiparadiseindianapolis.com/rs/index_home.action?pageType=D
Siam Square,"936 Virginia Ave, Indianapolis, IN 46203, United States",4.4,941,"bar, restaurant, food, point_of_interest, establishment",asian restaurant,39.7543683,-86.1419161,2,Closed,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 10:00 PM,12:00 - 10:00 PM,12:00 - 9:00 PM,http://www.siamsquareindy.com/
Modita,"850 Massachusetts Ave Suite 110, Indianapolis, IN 46204, United States",4.4,225,"restaurant, food, point_of_interest, establishment",asian restaurant,39.7797598,-86.14338289999999,,5:00 - 10:00 PM,5:00 - 10:00 PM,5:00 - 10:00 PM,5:00 - 10:00 PM,4:00 - 11:00 PM,4:00 - 11:00 PM,4:00 - 9:00 PM,https://www.modita.com/
